iter	Passed	Remaining
0	1	132
1	2	127
2	3	122
3	4	113
4	5	109
5	6	103
6	7	101
7	8	98
8	9	96
9	10	94
10	11	91
11	12	89
12	13	88
13	14	86
14	14	84
15	15	82
16	16	80
17	17	78
18	18	76
19	18	75
20	19	74
21	20	72
22	21	70
23	21	68
24	22	67
25	23	65
26	23	64
27	24	62
28	24	61
29	25	59
30	26	58
31	26	56
32	27	55
33	27	54
34	28	52
35	29	51
36	29	50
37	30	49
38	30	47
39	31	46
40	31	45
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	38
49	37	37
50	38	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	31
56	41	31
57	42	30
58	43	30
59	44	29
60	46	29
61	47	28
62	48	28
63	49	27
64	50	27
65	51	26
66	52	25
67	53	25
68	54	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	80	0
